ANZSCO Code,Occupation,Employed,Part-time share (%),Female share (%),Median weekly earnings ($),Median age,Annual employment growth,Col9,Col10,Task
ANZSCO Code,Occupation,Employed,Part-time share (%),Female share (%),Median weekly earnings ($),Median age,Annual employment growth,,,Tasks
1111,Chief Executives and Managing Directors,60200,15,31,,50,2500,,,"Determining objectives, strategies, policies and programs for organisations | Providing overall direction and management to organisations | Authorising material, human and financial resources to implement organisational policies and programs | Monitoring and evaluating performance of organisations against organisational objectives and strategies | Consulting with senior subordinate staff and reviewing recommendations and reports | Preparing, or arranging for the preparation of, reports, budgets and forecasts and presenting them to governing bodies | Representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility | Selecting and approving the selection of senior staff | Ensuring the organisation complies with company laws and other relevant legislation"
1112,General Managers,67900,9,33,,48,-1300,,,"Planning policy, and setting standards and objectives for organisations | Providing day-to-day direction and management of organisations, and directing and endorsing policy to fulfil objectives, achieve specific goals, and maximise profit and efficiency | Assessing changing situations and responding accordingly by issuing commands and directives to subordinate staff | Consulting with immediate subordinates and departmental heads on matters such as methods of operation, equipment requirements, finance, sales and human resources | Authorising the funding of major policy implementation programs | Representing the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums, and liaising between areas of responsibility | Preparing, or arranging for the preparation of, reports, budgets and forecasts, and presenting them to governing bodies | Selecting and managing the performance of senior staff | May undertake responsibility for some or all of accounting, sales, marketing, human resources and other specialist operations"
1113,Legislators,2800,24,57,,54,-100,,,"Developing national, state, territory or local government policy, and formulating, amending and repealing legislation and by-laws  | Helping constituents with a range of problems particularly with regard to matters concerning government and local agencies  | Investigating matters of concern to the public and to particular persons and groups  | Introducing proposals for government action and representing public and electoral interests  | Issuing policy directions to government departments and exercising control over local government authorities  | Attending community functions and meetings of local groups to provide service to the community, gauge public opinion and provide information on government plans  | May serve as a member on parliamentary committees and inquiries  | May present petitions on behalf of concerned groups"
1211,Aquaculture Farmers,2100,27,15,,47,0,,,"Planning and coordinating the operation of hatcheries to produce fish fry, seed oysters, crayfish, marron and prawns taking into account environmental and market factors | Monitoring the environment to maintain optimal growing conditions | Identifying and controlling environmental toxins and diseases | Monitoring stock growth rates to determine when to harvest | Transporting fish, crayfish, marron, prawns and sticks of seed oysters to new tanks, ponds, cages and floating net pens | Directing and overseeing the harvesting, grading and packaging of fish, oysters and other aquatic stock | Organising the sale, purchase and transportation of fish stock | Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly | Managing business capital including budgeting, taxation, debt and loan management | May select, train and supervise staff and contractors"
1212,Crop Farmers,33400,22,19,,52,-1300,,,"Planning and coordinating the production and marketing of crops, such as grain, cotton, sugar cane, fruit and nuts, vegetables, turf and flowers, from soil preparation to harvest taking into account environmental and market factors | Selecting and planting seeds, seedlings and bulbs, and grafting new varieties to root stocks | Maintaining crop production by cultivating, de-budding and pruning, and maintaining optimal growing conditions | Organising and conducting farming operations, such as collecting, storing, grading and packaging produce, and organising the sale, purchase and despatch of produce | Directing and overseeing general farming activities such as fertilising and pest and weed control | Maintaining farm buildings, fences, equipment and water supply systems | Maintaining and evaluating records of farming activities, monitoring market activity, and planning crop preparation and production to meet contract requirements and market demand | Managing business capital including budgeting, taxation, debt and loan management | May select, train and supervise staff and contractors"
1213,Livestock Farmers,69700,26,32,,60,-5900,,,"Breeding and raising livestock for the production of honey, meat, milk, skins, eggs and wool | Monitoring and maintaining the health and condition of livestock | Providing pastures and fodder to maintain appropriate nutritional levels | Moving livestock to optimise feeding opportunities | Organising and conducting farming operations such as catching, drenching and milking livestock, sterilising machines, and collecting, grading and packaging produce | Directing and overseeing general farming activities such as maintaining pens, sheds and cages, fertilising, controlling pests and weeds, and growing fodder | Maintaining fences, equipment and water supply systems | Organising the sale, purchase and transportation of livestock and produce | Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly | Managing business capital including budgeting, taxation, debt and loan management | May select, train and supervise staff and contractors"
1214,Mixed Crop and Livestock Farmers,28000,17,24,,56,400,,,"Planning and coordinating the production and marketing of crops and livestock | Breeding and raising livestock for the production of meat, wool, skins, milk or eggs, and growing grain, seed crops, vegetables, fruit or nuts | Monitoring and maintaining the health and condition of livestock | Providing pastures and fodder to maintain appropriate nutritional levels | Selecting and purchasing seed for planting, planning and implementing breeding programs | Directing and overseeing general farming activities such as fertilising, and pest and weed control | Maintaining farm buildings, fences, equipment and water supply systems | Organising the sale, purchase and transportation of livestock and produce | Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly | Managing business capital, monitoring market activity and planning production accordingly | May select, train and supervise staff and contractors"
1311,"Advertising, Public Relations and Sales Manager",166500,10,44,2677,42,1000,,,"Formulating and implementing policies and plans for advertising, public relations, sales and marketing in consultation with other managers | Directing the development of initiatives for new products, marketing and advertising campaigns | Organising and controlling sales activities by setting product mix, geographical sales areas and customer service standards | Directing merchandising methods and distribution policy by coordinating the work of salespersons, and organising agents and distributors | Directing sales methods and arrangements by setting prices and credit arrangements"
1321,Corporate Services Managers,23100,17,66,2932,48,500,,,"Providing high level administrative, strategic planning and operational support, research and advice to senior management on administrative matters such as staff management, financial planning, facility management and information services | Developing and managing the organisation's administrative, financial, physical and staff resources | Developing and implementing administrative, financial and operational procedural statements and guidelines for use by staff in the organisation | Analysing complex resource management issues and initiatives that affect the organisation, and preparing associated reports, correspondence and submissions | Providing information and support for the preparation of financial reports and budgets | Leading, managing and developing administrative staff to ensure smooth business operations and the provision of accurate and timely information | Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums, and promoting existing and new programs and policies"
1322,Finance Managers,77400,12,53,2904,45,2100,,,"Determining, implementing, monitoring, reviewing and evaluating budgetary and accounting strategies, policies and plans in consultation with other managers | Providing financial information and interpreting the implications for business performance and funding needs | Coordinating the development, implementation and monitoring of accounting systems | Directing the preparation of financial reports summarising and forecasting the organisation's financial position such as income statements, balance sheets and analyses of future earnings and income | Assessing capital finance proposals and the financial status of operational projects | Advising on investment strategies, sources of funds and the distribution of earnings | Delivering long range profit forecasts, budgeting and financial reporting | Ensuring compliance with financial legislation and standards"
1323,Human Resource Managers,91700,11,59,2768,44,-800,,,"Determining, implementing, monitoring, reviewing and evaluating human resource management strategies, policies and plans to meet business needs | Advising and assisting other managers in applying sound recruitment and selection practices, and appropriate induction, training and development programs | Developing and implementing performance management systems to plan, appraise and improve individual and team performance | Representing the organisation in negotiations with unions and employees to determine remuneration and other conditions of employment | Developing and implementing occupational health and safety programs and equal employment opportunity programs, and ensuring compliance with related statutory requirements | Overseeing the application of redundancy and other employee retrenchment policies | Monitoring employment costs and productivity levels | May train and advise other managers in personnel and workplace relations matters"
1324,Policy and Planning Managers,39500,11,60,2945,45,2000,,,"Developing, implementing and monitoring strategic plans, programs, policies, processes, systems and procedures to achieve goals, objectives and work standards | Developing, implementing, administering and participating in policy research and analysis | Coordinating the implementation of policies and practices | Establishing activity measures and measurements of accountability | Overseeing and participating in the development of policy documents and reports | Consulting with and providing expert advice to government officials and board members on policy, program and legislative issues | Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums convened to discuss policy issues"
1325,Research and Development Managers,19500,13,54,2887,48,800,,,"Determining, implementing and monitoring research and development strategies, policies and plans | Developing and implementing research projects, priorities and targets to support commercial and policy developments | Leading major research projects and coordinating activities of other research workers | Assessing the benefits and monitoring the costs and effectiveness of research and development activities | Interpreting results of research projects and recommending associated product and service development innovations | Providing advice on research and development options available to the organisation | Monitoring leading-edge developments in relevant disciplines and assessing implications for the organisation | May publish results of significant research projects"
1331,Construction Managers,134600,7,11,3751,42,3200,,,"Interpreting architectural drawings and specifications | Coordinating labour resources, and procurement and delivery of materials, plant and equipment | Consulting with architects, engineering professionals and other professionals, and technical and trades workers | Negotiating with building owners, property developers and subcontractors involved in the construction process to ensure projects are completed on time and within budget | Preparing tenders and contract bids | Operating and implementing coordinated work programs for sites | Ensuring adherence to building legislation and standards of performance, quality, cost and safety | Arranging submission of plans to local authorities | Building under contract, or subcontracting specialised building services | Overseeing the standard and progress of subcontractors' work | Arranging building inspections by local authorities"
1332,Engineering Managers,33100,4,18,3519,45,1100,,,"Determining, implementing and monitoring engineering strategies, policies and plans | Interpreting plans, drawings and specifications, and providing advice on engineering methods and procedures to achieve construction and production requirements | Establishing project schedules and budgets | Ensuring conformity with specifications and plans, and with laws, regulations and safety standards | Ensuring engineering standards of quality, cost, safety, timeliness and performance are observed | Overseeing maintenance requirements to optimise efficiency | Liaising with marketing, research and manufacturing managers regarding engineering aspects of new construction and product design | May contribute to research and development projects"
1333,"Importers, Exporters and Wholesalers",17700,22,23,1846,52,-900,,,"Identifying local and overseas business opportunities | Developing and implementing business plans, and marketing, operating, human resource, pricing and credit policies and procedures | Determining the mix of products and services to be provided and negotiating conditions of trade | Liaising with local and overseas suppliers and distributors about orders and products | Researching regulatory and statutory requirements affecting the importing, exporting, wholesaling and distribution of goods | Monitoring business performance and preparing estimates, financial statements and reports of operations | Appointing agents and distributors | Arranging the shipping of goods into and out of the country | Overseeing the display and sale of merchandise and preparation of product information for customer service staff and customers | Implementing after-sales service procedures"
1334,Manufacturers,21900,26,23,,45,-1000,,,"Identifying business opportunities, devising new manufacturing processes and determining products to be manufactured | Developing business plans and implementing operational, marketing, human resource and pricing procedures | Researching and implementing regulatory and statutory requirements affecting manufacturing operations and the environment | Directing the activities of production, warehouse, distribution and other operating units | Maintaining quality control systems for manufacturing, waste disposal, delivery and other procedures | Coordinating orders for raw materials, supplies and equipment, and arranging packaging, delivery and wholesaling of products | Overseeing the coordination of after-sales service | Overseeing the provision of quotes for the manufacture of specialised goods and arranging contracts with customers | May devise and oversee the implementation of production run schedules"
1335,Production Managers,64900,4,16,2298,47,800,,,"Determining, implementing and monitoring production strategies, policies and plans | Planning details of production activities in terms of output quality and quantity, cost, time available and labour requirements | Controlling the operation of production plant and quality procedures through planning of maintenance, designation of operating hours and supply of parts and tools | Monitoring production output and costs, and adjusting processes and resources to minimise costs | Informing other managers about production matters | Overseeing the acquisition and installation of new plant and equipment | Directing research into production methods, and recommending and implementing initiatives | Controlling the preparation of production records and reports | Coordinating the implementation of occupational health and safety requirements | Directing staff activities and monitoring their performance"
1336,"Supply, Distribution and Procurement Managers",58000,7,24,2834,45,2700,,,"Determining, implementing and monitoring purchasing, storage and distribution strategies, policies and plans | Preparing and implementing plans to maintain required stock levels at minimum cost | Negotiating contracts with suppliers to meet quality, cost and delivery requirements | Monitoring and reviewing storage and inventory systems to meet supply requirements and control stock levels | Operating recording systems to track all movements of supplies and finished goods, and ensuring re-ordering and re-stocking at optimal times | Liaising with other departments and customers concerning requirements for outward goods and associated forwarding transportation | Overseeing the recording of purchase, storage and distribution transactions | Directing staff activities and monitoring their performance"
1341,Child Care Centre Managers,17900,19,95,1983,43,-100,,,"Developing and implementing programs to enhance the physical, social, emotional and intellectual development of young children | Providing care for children in before-school, after-school, day, and vacation care centres | Directing and supervising child carers in providing care and supervision for young children | Ensuring the centre is a safe area for children, staff and visitors | Complying with relevant government requirements and standards | Liaising with parents | Maintaining records and accounts for the centre | Recruiting staff and coordinating professional development"
1342,Health and Welfare Services Managers,55200,17,66,2720,47,7100,,,"Providing overall direction and management for the service, facility, organisation or centre | Developing, implementing and monitoring procedures, policies and standards for medical, nursing, allied health and administrative staff | Coordinating and administering health and welfare programs and clinical services | Monitoring and evaluating resources devoted to health, welfare, recreation, housing, employment, training and other community facilities and centres | Controlling administrative operations such as budget planning, report preparation, expenditure on supplies, equipment and services | Liaising with other health and welfare providers, boards and funding bodies to discuss areas of health and welfare service cooperation and coordination | Advising government bodies about measures to improve health and welfare services and facilities | Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums | Controlling selection, training and supervision of staff"
1343,School Principals,29600,7,66,,50,900,,,"Determining educational programs based on curricula set by educational authorities | Implementing systems and procedures to monitor school performance and student enrolments | Directing administrative and clerical activities concerning student admissions and educational services | Preparing school budgets and maintaining budgetary controls | Promoting the educational program, and representing schools in the wider community | Supervising the maintenance of school facilities | Enforcing a disciplinary code to create a safe and conducive environment for students and teachers | Organising and implementing methods of raising additional funds in conjunction with parent groups | Controlling selection, training and supervision of staff | May teach students"
1344,Other Education Managers,16500,16,58,2724,47,900,,,"Coordinating the educational, administrative and financial affairs of an educational institution or department within the institution | Researching, developing, implementing, reviewing and evaluating educational and administrative policy | Liaising between educational institutions, parents and the wider community | Providing advice on policy and procedures to staff and students | Consulting with academic and administrative staff to coordinate educational programs | Identifying and addressing present and future needs for student and staff development | Researching educational systems and monitoring and evaluating new developments | Researching and reporting on students' needs arising from curriculum implementation | Developing and delivering training programs for teachers"
1351,ICT Managers,98600,6,25,3310,45,6000,,,"Analysing information needs and specifying technology to meet those needs | Formulating and directing information and communication technology (ict) strategies, policies and plans | Directing the selection and installation of ict resources and the provision of user training | Directing ict operations and setting priorities between system developments, maintenance and operations | Overseeing the security of ict systems"
1391,Commissioned Officers (Management),4400,6,9,3542,46,0,,,"Establishing administrative and operational procedures by taking account of the organisation's operating environment | Making policy decisions and accepting responsibility for operations, performance of staff, achievement of targets and adherence to budgets, standards and procedures | Establishing lines of control and delegating responsibilities to subordinate staff | Representing the organisation in dealings with other organisations and the public | Controlling the collection and interpretation of management information to monitor performance | Controlling the use of, and accounting for, the assets and facilities of the organisation | Preparing budgets and other management plans | Preparing reports, authorising the release of information, and handling public relations activities"
1392,Senior Non-Commissioned Defence Force Officers,4000,10,16,,44,,,,"Supervising a small group of subordinates  | Maintaining discipline of subordinates  | Monitoring the morale, welfare and behaviour of subordinates, and advising commanding officers accordingly  | Instructing subordinates in dress, deportment, demeanour, behaviour, drill and devotion to duty to maintain military standards  | Conducting military drills and inspections  | Teaching military traditions and customs"
1399,Other Specialist Managers,70000,11,43,2845,45,700,,,"Plans, organises, directs, controls, coordinates and promotes artistic and cultural policies, programs, projects and services | Plans, organises, directs, controls and coordinates the development and implementation of an environmental management system within an organisation by identifying, solving and alleviating environmental issues, such as pollution and waste treatment, in compliance with environmental legislation and to ensure corporate sustainable development. | Plans, organises, directs, controls and coordinates the operations of a research or production laboratory | Plans, organises, directs, controls and coordinates the deployment of quality systems and certification processes within an organisation | Plans, organises, directs, controls, coordinates and promotes sport and recreational activities, and develops related policies"
1411,Cafe and Restaurant Managers,62300,23,50,1644,38,-1100,,,"Planning menus in consultation with chefs | Planning and organising special functions | Arranging the purchasing and pricing of goods according to budget | Maintaining records of stock levels and financial transactions | Ensuring dining facilities comply with health regulations and are clean, functional and of suitable appearance | Conferring with customers to assess their satisfaction with meals and service | Selecting, training and supervising waiting and kitchen staff | May take reservations, greet guests and assist in taking orders"
