ANZSCO Code,Occupation,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
1111,Chief Executives and Managing Directors,32.7,26.4,18.3,6.3,11.8,1.7,1.2,1.6
1112,General Managers,29.8,29.5,19.9,5.0,10.8,2.0,1.2,1.8
1113,Legislators,27.5,17.4,21.3,6.6,12.1,5.7,4.8,4.6
1211,Aquaculture Farmers,14.9,12.5,11.9,11.3,14.8,25.7,4.4,4.4
1212,Crop Farmers,24.0,23.1,23.0,11.1,14.5,3.2,0.7,0.4
1213,Livestock Farmers,32.4,29.6,17.6,9.1,6.7,3.8,0.6,0.2
1214,Mixed Crop and Livestock Farmers,20.4,16.8,14.3,27.0,19.7,1.0,0.4,0.4
1311,"Advertising, Public Relations and Sales Manager",37.0,27.6,19.6,4.8,7.7,1.1,0.4,1.7
1321,Corporate Services Managers,25.7,19.9,25.0,6.6,15.0,1.9,1.8,4.0
1322,Finance Managers,36.0,26.9,16.7,6.7,9.3,1.1,1.0,2.4
1323,Human Resource Managers,38.9,20.4,20.1,5.7,10.2,1.3,0.7,2.7
1324,Policy and Planning Managers,35.0,22.7,14.4,4.1,8.2,1.8,1.4,12.3
1325,Research and Development Managers,31.6,30.0,15.1,5.7,10.9,1.4,0.8,4.7
1331,Construction Managers,36.0,23.0,21.1,5.3,9.9,2.0,1.2,1.3
1332,Engineering Managers,24.5,27.5,19.5,7.1,19.0,0.9,0.6,0.9
1333,"Importers, Exporters and Wholesalers",28.2,28.2,21.1,10.1,8.5,2.2,0.8,0.9
1334,Manufacturers,22.4,28.0,22.0,13.0,11.1,2.3,0.7,0.5
1335,Production Managers,28.3,27.2,19.4,5.7,17.0,1.8,0.4,0.3
1336,"Supply, Distribution and Procurement Managers",29.1,29.2,22.7,4.6,11.1,1.2,0.9,1.2
1341,Child Care Centre Managers,33.4,19.9,21.4,10.5,7.7,1.3,1.1,4.8
1342,Health and Welfare Services Managers,29.6,24.7,26.8,7.0,7.3,1.4,1.7,1.7
1343,School Principals,38.8,21.3,15.4,6.1,12.6,1.4,1.9,2.3
1344,Other Education Managers,32.4,31.4,15.1,6.5,6.7,1.3,1.5,5.1
1351,ICT Managers,39.6,33.3,11.2,3.7,6.5,1.2,0.4,4.2
1391,Commissioned Officers (Management),18.0,12.8,22.5,5.5,7.1,5.6,2.9,25.7
